	index
ARHGEF7	672
ARID1A	673
ARID1B	674
ARID2	675
ARID3A	676
ARID3B	677
ARID3C	678
ARID4A	679
ARID4B	680
ARID5A	681
ARID5B	682
ARIH1	683
ARIH2	684
ARL1	685
ARL10	686
ARL11	687
ARL13A	688
ARL13B	689
ARL14EP	690
ARL15	691
ARL16	692
ARL2	693
ARL2BP	694
ARL3	695
ARL4A	696
ARL5A	697
ARL6IP1	698
ARL6IP4	699
ARL6IP6	700
ARL8A	701
ARL8B	702
ARMC10	703
ARMC12	704
ARMC2	705
ARMC3	706
ARMC5	707
ARMC6	708
ARMC7	709
ARMC8	710
ARMC9	711
ARMCX1	712
ARMCX2	713
ARMCX3	714
ARMCX5	715
ARMCX6	716
ARNT	717
ARNT2	718
ARNTL	719
ARNTL2	720
ARPC1A	721
ARPC1B	722
ARPC2	723
ARPC4	724
ARPC5	725
ARPC5L	726
ARPP21	727
ARR3	728
ARRB1	729
ARRB2	730
ARRDC1	731
ARRDC2	732
ARRDC3	733
ARRDC4	734
ARRDC5	735
ARSA	736
ARSB	737
ARSD	738
ARSG	739
ARSH	740
ARSJ	741
ARSK	742
ART1	743
ART3	744
ART4	745
ART5	746
ARTN	747
ARV1	748
ARVCF	749
AS3MT	750
ASAH2	751
ASAP1	752
ASAP2	753
ASAP3	754
ASB1	755
ASB11	756
ASB13	757
ASB14	758
ASB16	759
ASB2	760
ASB5	761
ASB6	762
ASB7	763
ASB9	764
ASCC1	765
ASCC2	766
ASCC3	767
ASCL3	768
ASF1B	769
ASGR2	770
ASH1L	771
ASH2L	772
ASIC1	773
ASIC3	774
ASIC4	775
ASL	776
ASNS	777
ASNSD1	778
ASPA	779
ASPDH	780
ASPG	781
ASPH	782
ASPHD1	783
ASPHD2	784
ASPM	785
ASPRV1	786
ASPSCR1	787
ASRGL1	788
ASS1	789
ASTL	790
ASTN1	791
ASXL1	792
ATAD2	793
ATAD2B	794
ATAD3A	795
ATAD3B	796
ATAD3C	797
ATAD5	798
ATAT1	799
ATCAY	800
ATE1	801
ATF1	802
ATF2	803
ATF3	804
ATF4	805
ATF5	806
ATF6	807
ATF6B	808
ATF7	809
ATF7IP	810
ATG12	811
ATG13	812
ATG14	813
ATG16L1	814
ATG16L2	815
ATG2A	816
ATG2B	817
ATG3	818
ATG4A	819
ATG4B	820
ATG4C	821
ATG4D	822
ATG5	823
ATG7	824
ATG9A	825
ATIC	826
ATL1	827
ATL2	828
ATL3	829
ATM	830
ATMIN	831
ATN1	832
ATOH8	833
ATP10A	834
ATP10B	835
ATP10D	836
ATP11A	837
ATP11B	838
ATP12A	839
ATP13A1	840
ATP13A2	841
ATP13A4	842
ATP13A5	843
ATP1A1	844
ATP1A2	845
ATP1A3	846
ATP1A4	847
ATP1B1	848
ATP1B3	849
ATP2A1	850
ATP2A2	851
ATP2A3	852
ATP2B1	853
ATP2B3	854
ATP2B4	855
ATP2C2	856
ATP4A	857
ATP4B	858
ATP6AP1	859
ATP6AP2	860
