	index
AP1S3	610
AP2A1	611
AP2A2	612
AP2B1	613
AP2M1	614
AP2S1	615
AP3B1	616
AP3B2	617
AP3D1	618
AP3M1	619
AP3M2	620
AP3S1	621
AP4B1	622
AP4E1	623
AP4M1	624
AP4S1	625
AP5B1	626
AP5M1	627
AP5S1	628
AP5Z1	629
APAF1	630
APBA1	631
APBA2	632
APBA3	633
APBB1	634
APBB1IP	635
APBB2	636
APBB3	637
APC	638
APC2	639
APCDD1	640
APEH	641
APEX1	642
APEX2	643
APH1A	644
APH1B	645
API5	646
APLF	647
APLN	648
APLNR	649
APLP1	650
APLP2	651
APMAP	652
APOA1	653
APOA5	654
APOB	655
APOBEC2	656
APOBEC3A	657
APOBEC3B	658
APOBEC3C	659
APOBEC3D	660
APOBEC3F	661
APOBEC3G	662
APOBEC4	663
APOBR	664
APOC2	665
APOC4	666
APOD	667
APOF	668
APOL1	669
APOL2	670
APOL3	671
APOL4	672
APOL5	673
APOL6	674
APOLD1	675
APOO	676
APOOL	677
APP	678
APPBP2	679
APPL1	680
APPL2	681
APTX	682
AQP1	683
AQP10	684
AQP11	685
AQP2	686
AQP3	687
AQP4	688
AQP5	689
AQP6	690
AQP7	691
AQP8	692
AQR	693
AR	694
ARAF	695
ARAP1	696
ARAP2	697
ARAP3	698
ARC	699
ARCN1	700
AREG	701
AREL1	702
ARF1	703
ARF3	704
ARF4	705
ARF5	706
ARFGAP1	707
ARFGAP2	708
ARFGAP3	709
ARFGEF1	710
ARFGEF2	711
ARFIP1	712
ARFIP2	713
ARFRP1	714
ARG1	715
ARG2	716
ARGLU1	717
ARHGAP1	718
ARHGAP10	719
ARHGAP11A	720
ARHGAP12	721
ARHGAP15	722
ARHGAP17	723
ARHGAP18	724
ARHGAP19	725
ARHGAP20	726
ARHGAP21	727
ARHGAP22	728
ARHGAP23	729
ARHGAP24	730
ARHGAP25	731
ARHGAP26	732
ARHGAP27	733
ARHGAP28	734
ARHGAP29	735
ARHGAP30	736
ARHGAP31	737
ARHGAP32	738
ARHGAP33	739
ARHGAP35	740
ARHGAP36	741
ARHGAP39	742
ARHGAP4	743
ARHGAP44	744
ARHGAP5	745
ARHGAP6	746
ARHGAP9	747
ARHGDIA	748
ARHGDIB	749
ARHGEF1	750
ARHGEF10	751
ARHGEF10L	752
ARHGEF11	753
ARHGEF12	754
ARHGEF15	755
ARHGEF16	756
ARHGEF17	757
ARHGEF18	758
ARHGEF19	759
ARHGEF2	760
ARHGEF25	761
ARHGEF26	762
ARHGEF28	763
ARHGEF3	764
ARHGEF35	765
ARHGEF37	766
ARHGEF39	767
ARHGEF4	768
ARHGEF40	769
ARHGEF5	770
ARHGEF6	771
ARHGEF7	772
ARHGEF9	773
ARID1A	774
ARID1B	775
ARID2	776
ARID3A	777
ARID3B	778
ARID3C	779
ARID4A	780
ARID4B	781
ARID5A	782
ARID5B	783
ARIH1	784
ARIH2	785
ARL1	786
ARL10	787
ARL11	788
ARL13A	789
ARL13B	790
ARL14EP	791
ARL15	792
ARL16	793
ARL2	794
ARL2BP	795
ARL3	796
ARL4A	797
ARL5A	798
ARL5B	799
ARL6IP1	800
ARL6IP4	801
ARL6IP6	802
ARL8A	803
ARL8B	804
ARMC10	805
ARMC12	806
ARMC2	807
ARMC3	808
ARMC5	809
ARMC6	810
ARMC7	811
ARMC8	812
ARMC9	813
ARMCX1	814
ARMCX2	815
ARMCX3	816
ARMCX5	817
ARMCX6	818
ARNT	819
ARNT2	820
ARNTL	821
ARNTL2	822
ARPC1A	823
ARPC1B	824
ARPC2	825
ARPC4	826
ARPC5	827
ARPC5L	828
ARPP21	829
ARR3	830
ARRB1	831
ARRB2	832
ARRDC1	833
ARRDC2	834
ARRDC3	835
ARRDC4	836
ARRDC5	837
ARSA	838
ARSB	839
ARSD	840
ARSF	841
ARSG	842
ARSH	843
ARSI	844
ARSJ	845
ARSK	846
ART1	847
ART3	848
ART4	849
ART5	850
ARTN	851
ARV1	852
ARVCF	853
ARX	854
AS3MT	855
ASAH2	856
ASAP1	857
ASAP2	858
ASAP3	859
ASB1	860
ASB11	861
ASB12	862
ASB13	863
ASB14	864
ASB15	865
ASB16	866
ASB2	867
ASB4	868
ASB5	869
ASB6	870
ASB7	871
ASB8	872
ASB9	873
ASCC1	874
ASCC2	875
ASCC3	876
ASCL3	877
ASF1A	878
ASF1B	879
ASGR2	880
ASH1L	881
ASH2L	882
ASIC1	883
ASIC2	884
ASIC3	885
ASIC4	886
ASL	887
ASNS	888
ASNSD1	889
ASPA	890
ASPDH	891
ASPG	892
ASPH	893
ASPHD1	894
ASPHD2	895
ASPM	896
ASPRV1	897
ASPSCR1	898
ASRGL1	899
ASS1	900
ASTE1	901
ASTL	902
ASTN1	903
ASXL1	904
ATAD1	905
ATAD2	906
ATAD2B	907
ATAD3A	908
ATAD3B	909
ATAD3C	910
ATAD5	911
ATAT1	912
ATCAY	913
ATE1	914
ATF1	915
ATF2	916
ATF3	917
ATF4	918
ATF5	919
ATF6	920
ATF6B	921
ATF7	922
ATF7IP	923
ATF7IP2	924
ATG12	925
ATG13	926
ATG14	927
ATG16L1	928
ATG16L2	929
ATG2A	930
ATG2B	931
ATG3	932
ATG4A	933
ATG4B	934
ATG4C	935
ATG4D	936
ATG5	937
ATG7	938
ATG9A	939
ATIC	940
ATL1	941
ATL2	942
ATL3	943
ATM	944
ATMIN	945
ATN1	946
ATOH8	947
ATP10A	948
ATP10B	949
ATP10D	950
ATP11A	951
ATP11B	952
ATP11C	953
ATP12A	954
ATP13A1	955
ATP13A2	956
ATP13A3	957
ATP13A4	958
ATP13A5	959
ATP1A1	960
ATP1A2	961
ATP1A3	962
ATP1A4	963
ATP1B1	964
ATP1B2	965
ATP1B3	966
ATP2A1	967
ATP2A2	968
ATP2A3	969
ATP2B1	970
ATP2B2	971
ATP2B3	972
ATP2B4	973
ATP2C1	974
ATP2C2	975
ATP4A	976
ATP4B	977
ATP6AP1	978
ATP6AP2	979
ATP6V0A1	980
ATP6V0A2	981
ATP6V0A4	982
ATP6V0B	983
ATP6V0C	984
ATP6V0D1	985
ATP6V0D2	986
ATP6V0E1	987
ATP6V0E2	988
ATP6V1A	989
ATP6V1B1	990
ATP6V1B2	991
ATP6V1C1	992
ATP6V1C2	993
ATP6V1D	994
ATP6V1E1	995
ATP6V1E2	996
ATP6V1G1	997
ATP6V1G2	998
ATP6V1H	999
ATP7A	1000
ATP7B	1001
ATP8A1	1002
ATP8A2	1003
ATP8B1	1004
ATP8B2	1005
ATP8B3	1006
ATP8B4	1007
ATP9A	1008
ATP9B	1009
ATPAF1	1010
ATR	1011
ATRAID	1012
ATRIP	1013
ATRN	1014
ATRNL1	1015
ATRX	1016
ATXN1	1017
ATXN10	1018
ATXN1L	1019
ATXN2	1020
ATXN2L	1021
ATXN3	1022
ATXN7	1023
ATXN7L1	1024
ATXN7L2	1025
ATXN7L3	1026
AUH	1027
AUNIP	1028
AUP1	1029
AURKA	1030
AURKAIP1	1031
AURKB	1032
AURKC	1033
AUTS2	1034
AVEN	1035
AVIL	1036
AVL9	1037
AVPI1	1038
AVPR1A	1039
AVPR2	1040
AWAT2	1041
AXIN1	1042
AXIN2	1043
AXL	1044
AZGP1	1045
AZI2	1046
AZIN1	1047
B2M	1048
B3GALNT1	1049
B3GALNT2	1050
B3GALT1	1051
B3GALT2	1052
B3GALT4	1053
B3GALT5	1054
B3GAT1	1055
B3GAT2	1056
B3GAT3	1057
B3GNT2	1058
B3GNT3	1059
B3GNT4	1060
B3GNT5	1061
B3GNT6	1062
B3GNT7	1063
B3GNT9	1064
B3GNTL1	1065
B4GALNT1	1066
B4GALNT2	1067
B4GALNT3	1068
B4GALNT4	1069
B4GALT1	1070
B4GALT3	1071
B4GALT4	1072
B4GALT5	1073
B4GALT6	1074
B4GALT7	1075
B9D2	1076
BAALC	1077
BAAT	1078
BACE1	1079
BACE2	1080
BACH1	1081
BACH2	1082
BAD	1083
BAG1	1084
BAG2	1085
BAG3	1086
BAG4	1087
BAG5	1088
BAG6	1089
BAHD1	1090
BAIAP2	1091
BAIAP2L1	1092
BAIAP2L2	1093
BAIAP3	1094
BAK1	1095
BAMBI	1096
BANF1	1097
BANK1	1098
BANP	1099
BAP1	1100
BARD1	1101
BARHL1	1102
BARX2	1103
BASP1	1104
BATF	1105
BATF2	1106
BATF3	1107
BAX	1108
BAZ1A	1109
BAZ1B	1110
BAZ2A	1111
BAZ2B	1112
BBC3	1113
BBOX1	1114
BBS10	1115
BBS12	1116
BBS2	1117
BBS4	1118
BBS5	1119
BBS7	1120
BBS9	1121
BBX	1122
BCAN	1123
BCAP31	1124
BCAR1	1125
BCAR3	1126
BCAS1	1127
BCAS2	1128
BCAS3	1129
BCAT1	1130
BCAT2	1131
BCCIP	1132
BCDIN3D	1133
BCHE	1134
BCKDHA	1135
BCKDHB	1136
BCKDK	1137
BCL10	1138
BCL11A	1139
BCL11B	1140
BCL2	1141
BCL2A1	1142
BCL2L1	1143
BCL2L11	1144
BCL2L12	1145
BCL2L13	1146
BCL2L14	1147
BCL2L2	1148
BCL3	1149
BCL6	1150
BCL6B	1151
BCL7A	1152
BCL7B	1153
BCL7C	1154
BCL9	1155
BCL9L	1156
BCLAF1	1157
BCO2	1158
BCOR	1159
BCORL1	1160
BCR	1161
BCS1L	1162
BDH1	1163
BDH2	1164
BDKRB1	1165
BDKRB2	1166
BDNF	1167
BDP1	1168
BECN1	1169
BEND3	1170
BEND4	1171
BEND5	1172
BEND6	1173
BEND7	1174
BEST1	1175
BEST2	1176
BEST3	1177
BEST4	1178
BET1	1179
BET1L	1180
BEX1	1181
BEX2	1182
BEX4	1183
BFAR	1184
BFSP1	1185
BFSP2	1186
BGLAP	1187
BGN	1188
BHLHB9	1189
BHLHE40	1190
BHLHE41	1191
BHMT	1192
BHMT2	1193
BICC1	1194
BICD1	1195
BICD2	1196
BID	1197
BIN1	1198
BIN2	1199
BIRC2	1200
BIRC3	1201
BIRC5	1202
BIRC6	1203
BIRC7	1204
BLCAP	1205
BLK	1206
BLM	1207
BLMH	1208
BLNK	1209
BLOC1S1	1210
BLOC1S2	1211
BLOC1S5	1212
BLOC1S6	1213
BLVRA	1214
BLVRB	1215
BLZF1	1216
BMF	1217
BMI1	1218
BMP1	1219
BMP2	1220
BMP2K	1221
BMP3	1222
BMP4	1223
BMP5	1224
BMP6	1225
BMP7	1226
BMP8B	1227
BMPER	1228
BMPR1A	1229
BMPR1B	1230
BMPR2	1231
BMS1	1232
BMX	1233
BNC1	1234
BNC2	1235
BNIP1	1236
BNIP2	1237
BNIP3L	1238
BNIPL	1239
BOC	1240
BOD1L1	1241
BOK	1242
BOLA1	1243
BOLL	1244
BOP1	1245
BORA	1246
BPGM	1247
BPHL	1248
BPI	1249
BPIFB1	1250
BPIFB2	1251
BPIFB4	1252
BPIFC	1253
BPNT1	1254
BPTF	1255
BRAF	1256
BRAP	1257
BRCA1	1258
BRCA2	1259
BRCC3	1260
BRD1	1261
BRD2	1262
BRD3	1263
BRD4	1264
BRD7	1265
BRD8	1266
BRD9	1267
BRDT	1268
BRF1	1269
BRF2	1270
BRI3	1271
BRICD5	1272
BRINP1	1273
BRINP2	1274
BRINP3	1275
BRIP1	1276
BRIX1	1277
BRK1	1278
BRMS1	1279
BRMS1L	1280
BROX	1281
BRPF1	1282
BRPF3	1283
BRSK1	1284
BRSK2	1285
BRWD1	1286
BRWD3	1287
BSCL2	1288
BSDC1	1289
BSG	1290
BSN	1291
BSND	1292
BSPRY	1293
BST1	1294
BST2	1295
BTAF1	1296
BTBD1	1297
BTBD10	1298
BTBD16	1299
BTBD17	1300
BTBD2	1301
BTBD3	1302
BTBD6	1303
BTBD7	1304
BTBD8	1305
BTBD9	1306
BTC	1307
BTD	1308
BTF3	1309
BTG1	1310
BTG3	1311
BTG4	1312
BTK	1313
BTLA	1314
BTN1A1	1315
BTN2A1	1316
BTN2A2	1317
BTN3A1	1318
BTN3A2	1319
BTN3A3	1320
BTNL2	1321
BTNL3	1322
BTNL8	1323
BTNL9	1324
BTRC	1325
BUB1	1326
BUB1B	1327
BUB3	1328
BUD13	1329
BUD31	1330
BVES	1331
BYSL	1332
BZW1	1333
BZW2	1334
C10orf82	1335
C10orf88	1336
C10orf90	1337
C11orf16	1338
C11orf24	1339
C11orf45	1340
C11orf49	1341
C11orf52	1342
C11orf53	1343
C11orf54	1344
C11orf58	1345
C11orf65	1346
C11orf71	1347
C11orf80	1348
C11orf87	1349
C12orf29	1350
C12orf4	1351
C12orf45	1352
C12orf56	1353
C12orf57	1354
C12orf65	1355
C12orf66	1356
C12orf75	1357
C14orf119	1358
C14orf178	1359
C14orf93	1360
C15orf39	1361
